country,name,full_name,isin,currency,symbol
brazil,QUALICORP ON,Qualicorp SA,BRQUALACNOR6,BRL,QUAL3
brazil,RANDON PART ON,Randon Participacoes SA,BRRAPTACNOR7,BRL,RAPT3
brazil,RANDON PART PN,Randon Participacoes SA,BRRAPTACNPR4,BRL,RAPT4
brazil,RODOBENSIMOB ON,Rodobens Negocios Imobiliarios SA,BRRDNIACNOR9,BRL,RDNI3
brazil,LOCALIZA ON,Localiza Rent a Car SA,BRRENTACNOR4,BRL,RENT3
brazil,Pomifrutas,Pomifrutas SA,BRFRTAACNOR8,BRL,FRTA3
brazil,RENOVA UNT,Renova Energia SA Unit,BRRNEWCDAM15,BRL,RNEW11
brazil,INDS ROMI ON,Industrias Romi SA,BRROMIACNOR8,BRL,ROMI3
brazil,ROSSI RESID ON,Rossi Residencial SA,BRRSIDACNOR8,BRL,RSID3
brazil,SANTANDER BR UNT,Banco Santander Brasil SA Unit,BRSANBCDAM13,BRL,SANB11
brazil,SABESP ON,Cia de Saneamento Basico do Estado,BRSBSPACNOR5,BRL,SBSP3
brazil,SAO CARLOS ON,SAO CARLOS ON NM,BRSCARACNOR7,BRL,SCAR3
brazil,SPRINGS ON,Springs Global Participacoes SA,BRSGPSACNOR4,BRL,SGPS3
brazil,TIME FOR FUN ON,T4F Entretenimento SA,BRSHOWACNOR7,BRL,SHOW3
brazil,SLC AGRICOLA ON,SLC Agricola SA,BRSLCEACNOR2,BRL,SLCE3
brazil,SARAIVA LIVR PN,Saraiva SA Livreiros Editores,BRSLEDACNPR7,BRL,SLED4
brazil,SAO MARTINHO ON,Sao Martinho SA,BRSMTOACNOR3,BRL,SMTO3
brazil,SUL AMERICA UNT,Sul America SA,BRSULACDAM12,BRL,SULA11
brazil,ENGIE BRASILON NM,Engie Brasil Energia SA,BREGIEACNOR9,BRL,EGIE3
brazil,TECNISA ON,Tecnisa SA,BRTCSAACNOR3,BRL,TCSA3
brazil,TECHNOS ON,Technos SA,BRTECNACNOR6,BRL,TECN3
brazil,TEKA PN,Teka Tecelagem Kuehnrich SA,BRTEKAACNPR3,BRL,TEKA4
brazil,TEGMA ON,Tegma Gestao Logistica,BRTGMAACNOR7,BRL,TGMA3
brazil,TIM PART S/A ON,Tim Participacoes SA,BRTIMPACNOR1,BRL,TIMP3
brazil,TOTVS ON,Totvs SA,BRTOTSACNOR8,BRL,TOTS3
brazil,TRIUNFO PART ON,TRIUNFO PART ON NM,BRTPISACNOR8,BRL,TPIS3
brazil,TRISUL ON,Trisul SA,BRTRISACNOR4,BRL,TRIS3
brazil,TAESA UNT,TAESA UNT N2,BRTAEECDAM10,BRL,TAEE11
brazil,TRAN PAULIST PN,CTEEP Cia de Transmissao de Energia,BRTRPLACNPR1,BRL,TRPL4
brazil,TARPON INV ON,Tarpon Investimentos SA,BRTRPNACNOR0,BRL,TRPN3
brazil,ULTRAPAR ON NM,Ultrapar Participacoes SA,BRUGPAACNOR8,BRL,UGPA3
